lbo_rank,ticker,year,sector,missing_critical_data,pass_fcf_filter,pass_interest_coverage_filter,pass_debt_to_ebitda_filter,pass_current_ratio_filter,pass_capex_to_ebitda_filter,pass_hard_filters,fcf,fcf_margin,fcf_conversion,fcf_score,fcf_margin_score,fcf_conversion_score,cash_flow_strength_score,fcf_to_debt,fcf_to_debt_score,deleveraging_capacity_score,debt_to_ebitda,net_debt_to_ebitda,debt_to_ebitda_score,net_debt_to_ebitda_score,leverage_score,interest_coverage,cash_interest_coverage,interest_coverage_score,cash_interest_coverage_score,coverage_score,capex_to_revenue,capex_to_ebitda,capex_to_revenue_score,capex_to_ebitda_score,capex_burden_score,lbo_financial_score,lbo_status,lbo_rating,financial_feasibility_score,financial_red_flag,financial_metric_count,financial_data_complete
8,AOS,2025,Industrials,False,True,True,True,True,True,True,546000000.0,0.1425513028040311,0.6710089713653681,3.0,3.0,4.0,3.333333333333333,2.842269651223321,5.0,5.0,0.2360820941378887,0.02162959321617304,5,5,5.0,53.97037037037037,55.02962962962963,5.0,5.0,5.0,0.01848467442953371,0.08700995452869607,5.0,4.0,4.5,88.5,Pass,Ideal,0.885,False,6,True
9,AMAT,2025,Technology,False,True,True,True,True,True,True,5698000000.0,0.2008601240834743,0.5712280701754386,5.0,5.0,3.0,4.333333333333333,0.8082269503546099,5.0,5.0,0.706766917293233,-0.01914786967418546,5,5,5.0,35.46468401486989,28.68029739776952,5.0,5.0,5.0,0.07966723068245911,0.2265664160401002,3.0,2.0,2.5,88.5,Pass,Ideal,0.885,False,6,True
10,APH,2025,Technology,False,True,True,True,True,True,True,4378100000.0,0.189571633318467,0.635345165363015,4.0,4.0,4.0,4.0,0.282421623016385,5.0,5.0,2.249633574714478,0.6343728685657897,3,5,4.0,16.22756933115824,16.02582925502991,5.0,5.0,5.0,0.04315275799209342,0.1446255206141433,4.0,3.0,3.5,86.5,Pass,Ideal,0.865,False,6,True
11,ALLE,2025,Industrials,False,True,True,True,True,True,True,685700000.0,0.1685884985125267,0.6839218033113904,3.0,4.0,4.0,3.666666666666667,0.3462956416342609,5.0,5.0,1.974965090764013,1.619688809096349,4,4,4.0,8.607920792079208,8.955445544554456,5.0,5.0,5.0,0.02411919455166818,0.09784560143626571,4.0,4.0,4.0,86.0,Pass,Ideal,0.86,False,6,True
20,ABBV,2025,Healthcare,False,True,True,True,False,True,False,17816000000.0,0.2913015042511445,1.010607521697203,5.0,5.0,5.0,5.0,0.2639563826004504,5.0,5.0,3.828691360825912,3.532077826308923,2,2,2.0,3.280331835464915,5.674040788109229,3.0,4.0,3.5,0.01984957488554611,0.0688638039593851,5.0,4.0,4.5,85.0,Fail,Situational,0.85,False,6,True
12,A,2025,Healthcare,False,True,True,True,True,True,True,1152000000.0,0.1658031088082902,0.6277929155313352,4.0,4.0,4.0,4.0,0.3434704830053667,5.0,5.0,1.827792915531335,0.8528610354223434,4,5,4.5,13.8125,12.75,5.0,5.0,5.0,0.05857800805987334,0.2217983651226158,3.0,2.0,2.5,85.0,Pass,Ideal,0.85,False,6,True
13,ALGN,2025,Healthcare,False,True,True,True,True,True,True,490778000.0,0.1216313206264046,0.5965114427643006,2.0,3.0,3.0,2.666666666666667,4.288293168830715,5.0,5.0,0.1391022999780005,-1.191693193654915,5,5,5.0,36.47933935805547,44.89261452165784,5.0,5.0,5.0,0.02538932193694913,0.1245157989029434,4.0,3.0,3.5,81.5,Pass,Attractive,0.815,False,6,True
21,GOOGL,2025,Communication Services,False,True,True,True,True,False,False,73266000000.0,0.1818755026859566,0.4054610455013337,5.0,4.0,3.0,4.0,1.235701877182034,5.0,5.0,0.3281220600117323,0.1581810534704313,5,5,5.0,216.7961956521739,121.2649456521739,5.0,5.0,5.0,0.2270080131865077,0.5060764369279128,1.0,0.0,0.5,80.5,Fail,Marginal,0.805,False,6,True
22,GOOG,2025,Communication Services,False,True,True,True,True,False,False,73266000000.0,0.1818755026859566,0.4054610455013337,5.0,4.0,3.0,4.0,1.235701877182034,5.0,5.0,0.3281220600117323,0.1581810534704313,5,5,5.0,216.7961956521739,121.2649456521739,5.0,5.0,5.0,0.2270080131865077,0.5060764369279128,1.0,0.0,0.5,80.5,Fail,Marginal,0.805,False,6,True
14,BBY,2025,Consumer Cyclical,False,True,True,True,True,True,True,1392000000.0,0.0335195530726257,0.6292947558770343,4.0,1.0,4.0,3.0,0.3434492968171725,5.0,5.0,1.832278481012658,1.118896925858951,4,4,4.0,26.3921568627451,29.52941176470588,5.0,5.0,5.0,0.01700057792332884,0.3191681735985534,5.0,2.0,3.5,80.5,Pass,Attractive,0.805,False,6,True
15,BKR,2025,Energy,False,True,True,True,True,True,True,2537000000.0,0.09147946489741464,0.5917891299276884,4.0,2.0,3.0,3.0,0.4167898800722852,5.0,5.0,1.419874037788663,0.5533006764637276,4,5,4.5,13.95945945945946,13.57657657657658,5.0,5.0,5.0,0.04590199401435113,0.2969442500583158,4.0,2.0,3.0,80.49999999999999,Pass,Attractive,0.8049999999999998,False,6,True
23,APA,2025,Energy,False,True,True,True,False,False,False,1779000000.0,0.1994394618834081,0.3310999441652708,4.0,4.0,2.0,3.333333333333333,0.3875816993464052,5.0,5.0,0.8542713567839196,0.7582356225572306,5,5,5.0,11.03956834532374,9.377697841726619,5.0,5.0,5.0,0.3100896860986547,0.5147962032384142,0.0,0.0,0.0,75.0,Fail,Marginal,0.75,False,6,True
16,ADM,2025,Consumer Defensive,False,True,True,True,True,True,True,4204000000.0,0.05237389278550873,1.379265091863517,4.0,2.0,5.0,3.666666666666667,0.4308259889321582,5.0,5.0,3.201443569553806,2.868438320209974,2,3,2.5,3.050653594771242,2.941176470588236,3.0,2.0,2.5,0.0155477207888475,0.4094488188976378,5.0,1.0,3.0,71.0,Pass,Attractive,0.71,False,6,True
24,AVY,2025,Consumer Cyclical,False,True,True,True,True,True,True,681000000.0,0.07690136073626559,0.4903866925901922,3.0,2.0,3.0,2.666666666666667,0.1824318894157358,4.0,4.0,2.688053575286239,2.54201771440916,3,3,3.0,7.83234859675037,8.776218611521418,4.0,5.0,4.5,0.022630003952346,0.1443076258371138,4.0,3.0,3.5,69.0,Pass,Marginal,0.69,False,6,True
25,AMGN,2025,Healthcare,False,True,True,True,True,True,True,8100000000.0,0.2204021659274578,0.4793466682447627,5.0,5.0,3.0,4.333333333333333,0.1483407808951725,3.0,3.0,3.231388329979879,2.691146881287726,2,3,2.5,4.258076225045372,5.459165154264973,3.0,4.0,3.5,0.05055644744360697,0.1099538406912061,3.0,3.0,3.0,67.99999999999999,Pass,Marginal,0.6799999999999998,False,6,True
27,APTV,2025,Consumer Cyclical,False,True,True,True,True,True,True,1529000000.0,0.07495832924796549,0.6732716864817261,4.0,2.0,4.0,3.333333333333333,0.1889053619965406,4.0,4.0,3.564068692206077,2.749009247027741,2,3,2.5,3.545706371191136,4.473684210526316,3.0,3.0,3.0,0.03216001568781253,0.2888595332452664,4.0,2.0,3.0,65.5,Pass,Marginal,0.655,False,6,True
26,MMM,2025,Industrials,False,True,True,True,True,True,True,1396000000.0,0.05595638928972262,0.2158651615896088,4.0,2.0,2.0,2.666666666666667,0.1107760672909062,3.0,3.0,1.948662440080408,1.139168084119375,4,4,4.0,5.453488372093023,5.874207188160677,4.0,4.0,4.0,0.03647586980920314,0.1407143961651461,4.0,3.0,3.5,65.5,Pass,Marginal,0.655,False,6,True
28,AVB,2025,Real Estate,False,True,True,True,False,True,False,1406163000.0,0.4624433317712059,0.6311264570666075,4.0,5.0,4.0,4.333333333333333,0.1481145705091096,3.0,3.0,4.261069352577915,4.177033340350023,1,1,1.0,5.072304682827831,7.574162457896219,4.0,4.0,4.0,0.08713119404089485,0.1189136009041207,3.0,3.0,3.0,65.0,Fail,Marginal,0.65,True,6,True
29,BDX,2025,Healthcare,False,True,True,True,True,True,True,2671000000.0,0.1222985347985348,0.5389426957223568,4.0,3.0,3.0,3.333333333333333,0.1392523851728273,3.0,3.0,3.870258272800646,3.7409200968523,2,2,2.0,4.068515497553018,6.845024469820554,3.0,4.0,3.5,0.0347985347985348,0.1533494753833737,4.0,3.0,3.5,61.99999999999999,Pass,Marginal,0.6199999999999999,False,6,True
30,AZO,2025,Consumer Cyclical,False,True,True,True,False,True,False,1790080000.0,0.0945196023574353,0.4227543125507312,4.0,2.0,3.0,3.0,0.1456676471804073,3.0,3.0,2.902183983428772,2.837993617403663,3,3,3.0,7.438697113369871,5.971844468730228,4.0,4.0,4.0,0.07008167448724219,0.3134517008251843,3.0,2.0,2.5,61.49999999999999,Fail,Marginal,0.6149999999999999,False,6,True
31,ARE,2025,Real Estate,False,True,False,False,False,True,False,1402750000.0,0.4762874871612043,3.891663198779304,4.0,5.0,5.0,4.666666666666667,0.1099239266088232,3.0,3.0,35.403240393952,33.8799722569011,0,0,0.0,-4.367166891635568,1.540172387934609,0.0,1.0,0.5,0.003835425738708226,0.03133860452212512,5.0,5.0,5.0,59.50000000000001,Fail,Marginal,0.5950000000000001,True,6,True
32,T,2025,Communication Services,False,True,True,True,False,True,False,19442000000.0,0.1547338596714631,0.3554491105545094,5.0,4.0,2.0,3.666666666666667,0.1253974703791851,3.0,3.0,2.834579593030696,2.501215788800117,3,3,3.0,4.96928277483833,4.975749559082892,3.0,3.0,3.0,0.1658760983063797,0.3810446642411833,1.0,1.0,1.0,58.0,Fail,Marginal,0.58,False,6,True
33,AKAM,2025,Technology,False,True,True,True,True,False,False,699265000.0,0.1661682320720978,0.5211492239757038,3.0,4.0,3.0,3.333333333333333,0.1232100783241604,3.0,3.0,4.229761323619832,3.53647742728848,1,2,1.5,20.58467440423941,16.9795832114178,5.0,5.0,5.0,0.1947400001188163,0.6107581375416892,1.0,0.0,0.5,56.00000000000001,Fail,Marginal,0.56,True,6,True
34,BALL,2025,Consumer Cyclical,False,True,True,True,True,True,True,788000000.0,0.05987386976673505,0.3817829457364341,3.0,2.0,2.0,2.333333333333333,0.1123787792355961,3.0,3.0,3.397286821705426,2.810077519379845,2,3,2.5,4.592356687898089,5.063694267515924,3.0,4.0,3.5,0.0360155003419193,0.2296511627906977,4.0,2.0,3.0,56.0,Pass,Marginal,0.56,False,6,True
35,AMZN,2025,Consumer Cyclical,False,True,True,True,True,False,False,7695000000.0,0.0107333552789417,0.04654018059646427,5.0,1.0,1.0,2.333333333333333,0.0502983913665867,2.0,2.0,0.9252816905667681,0.4002455531295928,5,5,5.0,43.79287598944591,14.74142480211082,5.0,5.0,5.0,0.1838674671234329,0.7972553692066698,1.0,0.0,0.5,55.50000000000001,Fail,Marginal,0.555,False,6,True
36,AMT,2025,Real Estate,False,True,True,False,False,True,False,3783600000.0,0.3554478327039062,0.5870415192701546,4.0,5.0,3.0,4.0,0.08414750499845432,2.0,2.0,6.976338980947062,6.747517532427232,0,0,0.0,3.239370310431072,3.505075768721495,3.0,3.0,3.0,0.1578640813182271,0.2607211568298889,1.0,2.0,1.5,47.5,Fail,Marginal,0.475,True,6,True
37,ALB,2025,Basic Materials,False,True,False,False,True,False,False,692466000.0,0.1346494169539815,2.203509240873683,3.0,3.0,5.0,3.666666666666667,0.2100513521146157,4.0,4.0,10.49033590448552,5.341664120971437,0,0,0.0,-1.658658036802134,-1.326962066159084,0.0,0.0,0.0,0.1146862961775383,1.876816989969961,2.0,0.0,1.0,44.99999999999999,Fail,Marginal,0.44999999999999996,True,6,True
38,AMCR,2025,Consumer Cyclical,False,True,True,False,True,True,False,810000000.0,0.05396761942834299,0.4581447963800905,3.0,2.0,3.0,2.666666666666667,0.05397121535181237,2.0,2.0,8.48868778280543,8.020927601809955,0,0,0.0,2.641414141414141,3.0,2.0,3.0,2.5,0.03864348057831968,0.3280542986425339,4.0,2.0,3.0,42.5,Fail,Marginal,0.425,True,6,True
39,AXON,2025,Industrials,False,True,False,False,True,False,False,75081000.0,0.02701206244495484,0.3823387125521329,1.0,1.0,2.0,1.333333333333333,0.03931634046617625,1.0,1.0,9.724677017716285,3.608016376996838,0,2,1.0,1.201341284832021,0.6379061525074811,1.0,0.0,0.5,0.04902185112910932,0.6938733940001935,4.0,0.0,2.0,23.5,Fail,Marginal,0.235,True,6,True
40,BAX,2025,Healthcare,False,True,False,False,True,False,False,323000000.0,0.02872643187477766,0.4216710182767624,2.0,1.0,3.0,2.0,0.03302658486707567,1.0,1.0,12.76762402088773,10.20104438642298,0,0,0.0,-0.7413793103448276,0.8413793103448276,0.0,0.0,0.0,0.0464247598719317,0.6814621409921671,4.0,0.0,2.0,23.0,Fail,Marginal,0.23,True,6,True
41,ATO,2025,Utilities,False,False,True,True,False,False,False,-1511943000.0,-0.3215015453707454,-0.6340827282689518,0.0,0.0,0.0,0.0,-0.1625132503810929,0.0,0.0,3.901729408414578,3.81672598834871,2,2,2.0,9.609338412609652,-6.85552021808269,5.0,0.0,2.5,0.7573005610541055,1.493589106450651,0.0,0.0,0.0,13.5,Fail,Marginal,0.135,True,6,True
43,AWK,2025,Utilities,False,False,True,False,False,False,False,-1242000000.0,-0.2416342412451362,-0.4237461617195497,0.0,0.0,0.0,0.0,-0.07802487749717302,0.0,0.0,5.430910951893551,5.397475264414876,0,0,0.0,3.312195121951219,-0.6016260162601627,3.0,0.0,1.5,0.6422178988326849,1.126236779256226,0.0,0.0,0.0,4.5,Fail,Marginal,0.045,True,6,True
42,AEE,2025,Utilities,False,False,True,False,False,False,False,-821000000.0,-0.09330605750653484,-0.2081115335868187,0.0,0.0,0.0,0.0,-0.04140191628845184,0.0,0.0,5.026615969581749,5.023320659062104,0,0,0.0,3.057989690721649,-0.2951030927835052,3.0,0.0,1.5,0.4743720877372429,1.058048162230672,0.0,0.0,0.0,4.5,Fail,Marginal,0.045,True,6,True
44,LNT,2025,Utilities,False,False,True,False,False,False,False,-1314000000.0,-0.3012379642365887,-0.6593075765178124,0.0,0.0,0.0,0.0,-0.1084516342027072,0.0,0.0,6.079277471149021,5.800301053687908,0,0,0.0,2.360082304526749,-1.008230452674897,2.0,0.0,1.0,0.5692342961944062,1.24586051179127,0.0,0.0,0.0,3.0,Fail,Marginal,0.03,True,6,True
45,AEP,2025,Utilities,False,False,True,False,False,False,False,-1639000000.0,-0.07492228926677638,-0.177400151531551,0.0,0.0,0.0,0.0,-0.0331057606851418,0.0,0.0,5.358588591838943,5.337265937872064,0,0,0.0,2.838104639684107,0.3237907206317868,2.0,0.0,1.0,0.3923477783872737,0.9289966446585128,0.0,0.0,0.0,3.0,Fail,Marginal,0.03,True,6,True
46,AES,2025,Utilities,False,False,False,False,False,False,False,-1623000000.0,-0.1326739148205673,-0.5522286492004083,0.0,0.0,0.0,0.0,-0.05428638324915543,0.0,0.0,10.17250765566519,9.702279686968357,0,0,0.0,1.053304904051173,-2.125088841506752,1.0,0.0,0.5,0.4846726068830213,2.017352841102416,0.0,0.0,0.0,1.5,Fail,Marginal,0.015,True,6,True
47,APD,2025,Basic Materials,False,False,False,False,True,False,False,-3765800000.0,-0.3128442424796258,-2.815551401869159,0.0,0.0,0.0,0.0,-0.2045941041605546,0.0,0.0,13.76164485981308,12.37398130841122,0,0,0.0,-1.059345794392523,-26.56588785046729,0.0,0.0,0.0,0.5834032548827395,5.250542056074766,0.0,0.0,0.0,0.0,Fail,Marginal,0.0,True,6,True
49,AAPL,2025,Technology,True,True,False,True,False,True,False,98767000000.0,0.2373288222586931,0.6823375797938486,5.0,5.0,4.0,4.666666666666667,1.001114974102193,5.0,5.0,0.6815776383784232,0.4333255036339017,5,5,5.0,,,,,,0.03055307921693768,0.08784231906485755,4.0,4.0,4.0,,Fail,Insufficient data,,False,4,False
48,ABNB,2025,Consumer Cyclical,True,False,True,True,True,False,False,,,,,,,,,,,0.8125,-1.766116352201258,5,5,5.0,3.608510638297872,,3.0,,3.0,,,,,,,Fail,Insufficient data,,False,2,False
50,ANET,2025,Technology,False,True,True,True,True,True,True,4252400000.0,0.4721898353265154,1.082393667116349,4.0,5.0,5.0,4.666666666666667,,,,0.0,-0.4998854582940922,5,5,5.0,10.05764214919144,9.935315597287428,5.0,5.0,5.0,0.0132693738410118,0.03041718634662866,5.0,5.0,5.0,,Pass,Insufficient data,,False,4,False
