ticker,innovation_decay_score,strategic_decay_score,topic_rigidity_score,management_confidence_score,innovation_decay_zscore,topic_rigidity_zscore,strategic_decay_zscore,management_confidence_zscore,management_confidence_zscore_aligned,final_stagnation_score
RTX,0.007290024,0.019696956,0.778013527,0.488551683,1.297587145,-0.748410975,1.37447535,-0.63285002,0.63285002,0.639125385
PKG,-0.000995913,-0.005457192,0.999595344,0.319948917,-0.176488906,0.851034409,-0.193733632,-2.07171677,2.07171677,0.63813216
WSM,-0.000205852,0.000585386,0.977447271,0.362597283,-0.035936397,0.69116284,0.182984551,-1.707752896,1.707752896,0.636490973
MCD,0.000690675,-0.003486423,0.999544322,0.374697844,0.123556697,0.85066612,-0.070868073,-1.604485943,1.604485943,0.626960172
MPC,0.001427991,-0.004720424,0.997065365,0.380438591,0.254725977,0.832772248,-0.147800628,-1.555494041,1.555494041,0.62379791
DG,-0.00074102,0.003316347,0.952959001,0.358426139,-0.131143184,0.514399009,0.353243449,-1.743349706,1.743349706,0.619962245
GM,0.004651014,0.004267186,0.907155275,0.442478019,0.828104789,0.183773695,0.41252249,-1.026045607,1.026045607,0.612611645
BA,0.002015891,0.007795238,0.973794937,0.471537989,0.3593138,0.664799174,0.632475204,-0.778045967,0.778045967,0.608658536
STZ,0.000531368,0.027033509,0.950211525,0.562153094,0.09521572,0.494566886,1.831865046,-0.004730885,0.004730885,0.606594634
QCOM,-0.00096198,-0.001088609,0.967402935,0.340706688,-0.170452168,0.618659746,0.078621092,-1.894568634,1.894568634,0.605349326
APD,0.011590907,0.000792739,0.985186398,0.639107047,2.062718302,0.747026226,0.195911794,0.651999055,-0.651999055,0.588414317
INVH,0.003757299,-6.52E-05,0.991075754,0.480700936,0.66911203,0.789537401,0.14242665,-0.699848798,0.699848798,0.57523122
MTD,-0.000743026,-0.000451491,0.995069325,0.388136237,-0.131500047,0.818364218,0.118341553,-1.489801837,1.489801837,0.57375189
CVNA,0.008084763,0.000790696,0.994548559,0.582380884,1.438972027,0.814605171,0.195784388,0.167894361,-0.167894361,0.570366806
AIZ,-0.003181551,-0.003961014,0.995413005,0.313977855,-0.56531598,0.820845008,-0.100455997,-2.122674196,2.122674196,0.569436807
GRMN,-0.001585522,-0.000931115,0.993480444,0.369446373,-0.281380969,0.806895188,0.088439927,-1.649302327,1.649302327,0.565814118
DLTR,0.001321909,-0.019586856,1.000000119,0.304237704,0.235853728,0.8539562,-1.074632689,-2.20579727,2.20579727,0.555243627
MCHP,0.000176426,-0.006860395,0.946479976,0.328073319,0.032071286,0.467631424,-0.281214835,-2.002382609,2.002382609,0.555217621
PLTR,0.001567243,-0.004846158,0.999009609,0.417701645,0.279499013,0.846806396,-0.155639362,-1.237488759,1.237488759,0.552038702
UNH,0.000883368,0.01039625,0.988843918,0.510164252,0.15783691,0.773427324,0.794632602,-0.448406979,0.448406979,0.543575953
LLY,0.00524362,0.00605488,0.976326525,0.562298131,0.933529953,0.683072952,0.523974453,-0.003493135,0.003493135,0.536017623
DHR,0.001199432,0.005188689,0.974508464,0.472972233,0.214065016,0.669949632,0.469972646,-0.765806036,0.765806036,0.529948332
PSX,0.001912294,0.000395069,0.981370449,0.460368501,0.340883829,0.719481538,0.171119432,-0.873367095,0.873367095,0.526212974
ODFL,0,0.010778266,0.987008274,0.502878332,0.000684927,0.760177081,0.818448942,-0.510585483,0.510585483,0.522474109
VRTX,0.016626635,-0.002144989,0.702795506,0.515802477,2.958579189,-1.291357683,0.012762213,-0.400290006,0.400290006,0.520068432
FDS,0.007122953,0.019376029,0.772957027,0.536289707,1.267865005,-0.784910343,1.354467462,-0.225450683,0.225450683,0.515718202
ALGN,0.00619076,0.000798246,0.925564528,0.513409722,1.102027101,0.316657313,0.1962551,-0.420709929,0.420709929,0.508912361
CAT,0.003826794,-0.000684484,0.972042084,0.493081232,0.681475321,0.652146542,0.103815842,-0.594194557,0.594194557,0.507908066
TXN,0.001061021,0.00519811,0.998300791,0.505016452,0.189441639,0.841689927,0.470559985,-0.492338635,0.492338635,0.498507546
GE,0.004971412,0.00305804,0.885206461,0.480537014,0.88510388,0.025340434,0.337139603,-0.701247718,0.701247718,0.487207909
LDOS,0.003934319,-0.003671888,0.932323277,0.451373963,0.700603975,0.365444036,-0.082430736,-0.95012705,0.95012705,0.483436081
FAST,0.000694027,0.007512958,0.986756027,0.511989392,0.124153034,0.758356286,0.614876777,-0.43283112,0.43283112,0.482554304
CCI,0.002177419,0.039463561,0.668097973,0.507633461,0.38804991,-1.541815095,2.606803606,-0.470004908,0.470004908,0.480760832
ES,0.001939717,0.018894691,0.997252762,0.633619293,0.345762504,0.834124937,1.324458971,0.605166214,-0.605166214,0.474795049
FANG,1.99E-05,-0.005982836,0.999431908,0.415160093,0.004227075,0.849854679,-0.226504342,-1.259178528,1.259178528,0.471688985
UHS,0.000595503,0.002065955,1,0.486830078,0.106625478,0.85395534,0.275289098,-0.64754231,0.64754231,0.470853056
WDAY,0.004453716,0.011863375,0.940235853,0.590137939,0.793005174,0.422559433,0.886098981,0.234093561,-0.234093561,0.466892507
PSA,4.64E-05,0.014268517,0.998142183,0.566503257,0.008943605,0.840545047,1.036045038,0.032393684,-0.032393684,0.463285001
HLT,0.000901047,-0.01155228,0.97527504,0.378028223,0.16098202,0.675483007,-0.573725488,-1.576064272,1.576064272,0.459700953
UAL,-0.000882918,-0.005109587,1,0.412200373,-0.156387021,0.85395534,-0.172062527,-1.28443697,1.28443697,0.45248569
HPE,0.009994742,0.011992864,0.77332592,0.573136676,1.778759143,-0.782247559,0.894171782,0.089003707,-0.089003707,0.450419915
IEX,-0.000865542,0.02436664,0.976723731,0.620341268,-0.153295758,0.685940102,1.665601898,0.491850703,-0.491850703,0.426598885
CEG,-0.00053398,-0.001255293,0.983479798,0.446548249,-0.094310583,0.734707463,0.068229343,-0.99131,0.99131,0.424984056
EFX,-0.001349049,0.003851013,0.998336315,0.480906339,-0.239312223,0.841946353,0.386576626,-0.698095869,0.698095869,0.421826656
BG,0.009281625,0.009173007,0.908493876,0.666398167,1.651894793,0.193436128,0.718370782,0.884903213,-0.884903213,0.419699623
IBKR,-0.00213492,7.72E-05,0.994743109,0.435849119,-0.379119397,0.816009489,0.151300104,-1.082617062,1.082617062,0.417701815
AWK,-0.00152565,-0.002735909,0.993918419,0.429522417,-0.270729633,0.810056626,-0.024078071,-1.13660954,1.13660954,0.412964616
GILD,0.004118208,-0.006408193,0.93105197,0.467736887,0.733318091,0.356267349,-0.253022762,-0.810484812,0.810484812,0.411761873
RJF,-0.000448933,0.002330138,0.969159186,0.469165564,-0.079180629,0.631336902,0.291759309,-0.798292395,0.798292395,0.410551994
CLX,-0.001938776,-0.000226757,0.833042145,0.310187388,-0.344225088,-0.351197569,0.132352334,-2.155022281,2.155022281,0.397987989
FIS,0.009766248,0.007019503,0.767602742,0.551959088,1.738109833,-0.823559213,0.584112834,-0.091727182,0.091727182,0.397597659
CMS,-0.001589249,-0.015468616,0.990736187,0.340684783,-0.28204406,0.787086298,-0.81788534,-1.894755569,1.894755569,0.395478117
KVUE,0.002891826,0.018796866,0.959293783,0.658189418,0.515143455,0.560125402,1.31836018,0.814849222,-0.814849222,0.394694954
TRV,-0.001009484,-0.002468472,0.976038635,0.437354426,-0.178903167,0.68099487,-0.007405008,-1.069770671,1.069770671,0.391114342
DASH,-0.006581879,-0.008823379,0.993086576,0.290069506,-1.170237717,0.804052132,-0.403595,-2.326709567,2.326709567,0.389232246
KIM,0.010282655,0.007717946,0.639440775,0.463491423,1.829979128,-1.748671522,0.627656556,-0.846715875,0.846715875,0.388920009
EQR,-0.000503371,-0.008379442,0.99344033,0.420642221,-0.088865195,0.806605634,-0.375918209,-1.212393697,1.212393697,0.388553982
DELL,-0.002860663,-0.006540662,0.922046959,0.325659006,-0.508229789,0.291266429,-0.261281432,-2.022986512,2.022986512,0.38618543
BALL,0.001000807,-0.002193424,0.960652769,0.471403355,0.178729472,0.569934978,0.009742576,-0.779194944,0.779194944,0.384400493
HUBB,0.000988368,-0.002113195,0.987400055,0.496949488,0.176516465,0.763005079,0.014744341,-0.561182621,0.561182621,0.378862126
AEP,-0.000133066,-0.004007664,0.938507557,0.42494547,-0.02298768,0.410084061,-0.103364319,-1.175669499,1.175669499,0.36485039
BAC,0.000447127,-0.000945238,0.998924255,0.510688098,0.080229214,0.846190286,0.087559435,-0.443936441,0.443936441,0.364478844
FFIV,0.002332058,0.010242055,0.980777681,0.618427517,0.415560338,0.715202756,0.785019462,0.475518629,-0.475518629,0.360065982
V,0.01163508,0.001008975,0.873532712,0.656029191,2.070576724,-0.058924256,0.209392772,0.796413711,-0.796413711,0.356157882
JCI,0.001165862,-0.010365117,0.976727962,0.445282306,0.208092948,0.685970649,-0.499713039,-1.002113643,1.002113643,0.34911605
ROST,-0.001657459,0.005733641,0.956650317,0.487188757,-0.294178535,0.541044055,0.503947097,-0.644481317,0.644481317,0.348823484
HCA,0.000663767,0.003516027,0.991681993,0.550122413,0.118769783,0.793913419,0.365692314,-0.107401488,0.107401488,0.346444251
URI,0.0024,0.019625112,0.790420353,0.535986613,0.42764722,-0.658854706,1.36999631,-0.228037305,0.228037305,0.341706532
LEN,0.003774014,0.008282047,0.806733131,0.497239628,0.672085665,-0.541104081,0.662824818,-0.558706543,0.558706543,0.338128236
EMR,0.002139786,0.011798329,0.994194686,0.650805853,0.381354893,0.812050809,0.88204371,0.75183741,-0.75183741,0.330903
EW,0.009215098,-0.005971496,0.963344634,0.642492269,1.640059581,0.589365684,-0.225797353,0.680888752,-0.680888752,0.33068479
ARES,-0.000297808,-0.0027881,0.99944061,0.498578488,-0.052295453,0.849917494,-0.027331863,-0.547280625,0.547280625,0.329392701
HSIC,0.002013326,0.001503151,0.996380985,0.576631004,0.358857584,0.82783218,0.240201655,0.11882452,-0.11882452,0.327016725
MO,-0.002763391,0.000325464,0.988546133,0.462422113,-0.490925056,0.771277822,0.166779988,-0.855841435,0.855841435,0.325743547
ORCL,-0.000177512,-0.004068116,0.903039634,0.412583966,-0.030894711,0.154065738,-0.107133135,-1.28116336,1.28116336,0.324300313
FTNT,0.001966261,0.008243054,0.901135623,0.54599567,0.350484653,0.140322005,0.660393845,-0.14261937,0.14261937,0.323454968
DDOG,-0.000427918,0.0039683,0.994601011,0.544621017,-0.075442041,0.814983786,0.393888797,-0.15435075,0.15435075,0.321945323
FIX,0.003199159,-0.002395859,0.990348756,0.571219679,0.569818411,0.784289708,-0.002878008,0.072643924,-0.072643924,0.319646547
CSX,0.00157836,-0.005503497,0.997251093,0.520797845,0.281476729,0.83411289,-0.196620465,-0.357659219,0.357659219,0.319157093
CNC,0.002073111,0.017256212,0.903961241,0.618508321,0.369493325,0.160718179,1.222309694,0.476208212,-0.476208212,0.319078247
NVDA,0.01146153,-0.028974009,0.972773075,0.534751356,2.039702127,0.657423061,-1.659864889,-0.238579062,0.238579062,0.31895984
ARE,-0.001589186,0.000100931,0.934492588,0.444010184,-0.282032797,0.381102787,0.152781716,-1.01297001,1.01297001,0.316205429
SBUX,0.008169893,0.00326497,0.892401755,0.637607288,1.45411669,0.077278268,0.350040409,0.639200016,-0.639200016,0.310558838
LYB,-0.000958007,-0.001998978,0.925990582,0.438434834,-0.169745437,0.319732701,0.021865084,-1.060550404,1.060550404,0.308100688
T,0.001196584,-0.003955171,0.932903111,0.475457529,0.213558314,0.369629455,-0.100091718,-0.744596365,0.744596365,0.306923104
CRWD,0.001146141,0.00479016,0.957300603,0.56058907,0.204584486,0.545738024,0.445126813,-0.018078365,0.018078365,0.303381922
TMO,0.002775032,0.004718505,0.969006777,0.604642276,0.494365804,0.630236767,0.440659532,0.3578745,-0.3578745,0.301846901
WEC,-0.000433539,-0.002897431,0.999871492,0.509072004,-0.076442098,0.853027732,-0.034148031,-0.45772829,0.45772829,0.300041473
PGR,-0.002712211,-0.000960379,0.874704123,0.370585738,-0.481820041,-0.05046866,0.086615464,-1.639578917,1.639578917,0.29847642
PODD,0.011579059,-0.014052009,0.887950897,0.585980189,2.060610498,0.045150615,-0.729568486,0.198611062,-0.198611062,0.294395391
NDAQ,-0.00408777,-0.003408621,0.970297635,0.407329041,-0.726533282,0.639554574,-0.066017605,-1.326009222,1.326009222,0.293253227
KR,-0.000776189,0.010678977,0.937685192,0.553201564,-0.137399924,0.404147977,0.812258881,-0.081123817,0.081123817,0.290032688
NDSN,0.00278887,0.014799513,0.998030663,0.712016119,0.496827618,0.839740059,1.069149417,1.274209724,-1.274209724,0.282876842
AMAT,0.008744991,0.005242999,0.871158063,0.659284978,1.556427141,-0.0760652,0.473358574,0.824198801,-0.824198801,0.282380428
NOW,-0.000691432,0.006329148,0.981585324,0.564011789,-0.122321441,0.72103257,0.54107337,0.011131335,-0.011131335,0.282163291
EPAM,-0.003171676,-0.006595564,0.967703521,0.407936618,-0.563559211,0.620829469,-0.264704218,-1.320824127,1.320824127,0.278347542
TSN,0.002146694,-0.001755492,0.987691939,0.57199926,0.382583764,0.765111987,0.037045006,0.079296919,-0.079296919,0.276360959
BX,-0.000773802,0.00334839,0.798773766,0.391034592,-0.136975189,-0.59855722,0.355241176,-1.465067094,1.465067094,0.271193965
ITW,-0.001561402,-0.009679356,0.892275512,0.359534339,-0.277089919,0.07636701,-0.456959981,-1.733892261,1.733892261,0.269052343
NUE,0.000283517,0.003295243,0.949456215,0.544284545,0.051122937,0.489114826,0.351927726,-0.157222223,0.157222223,0.262346928
INCY,0.008403607,-0.003165293,0.979986012,0.693659285,1.495694625,0.709488247,-0.050847587,1.11755133,-1.11755133,0.259195989
MAA,0.00070469,0.014654677,0.998621762,0.681083113,0.12605003,0.844006794,1.06011975,1.01022548,-1.01022548,0.254987774
APO,0.001563797,0.036531251,0.758792102,0.659000276,0.278885861,-0.887157105,2.423991785,0.821769138,-0.821769138,0.248487851
GDDY,0.001638634,0.009064966,0.98029393,0.648753835,0.292199454,0.711710891,0.711635078,0.734325355,-0.734325355,0.245305017
MRK,0.004446998,-0.000206868,0.993336022,0.651211736,0.791810125,0.805852706,0.13359231,0.755301244,-0.755301244,0.243988474
RL,0.000478469,0.004739346,0.986333847,0.601828483,0.085805001,0.755308864,0.441958845,0.333861408,-0.333861408,0.237302825
MPWR,0.004152849,0.0073619,0.671040833,0.433968811,0.739480704,-1.52057263,0.605459222,-1.098663727,1.098663727,0.230757756
CHTR,0,-0.020178891,0.986196518,0.413864229,0.000684927,0.754317581,-1.111542534,-1.270237515,1.270237515,0.228424372
PEP,-0.000276904,0.008168605,1,0.626944419,-0.048576645,0.85395534,0.655752423,0.548202411,-0.548202411,0.228232177
EOG,0.001139094,0.008666823,0.97275424,0.637134697,0.203330795,0.657287104,0.686813303,0.635166897,-0.635166897,0.228066076
Q,,,,0.536350456,,,,-0.224932244,0.224932244,0.224932244
IDXX,-0.005553758,-0.012169676,0.995660007,0.370653632,-0.98733386,0.822627942,-0.612216381,-1.6389995,1.6389995,0.2155193
BDX,0.001409037,-0.028842773,0.860303223,0.27970626,0.251353907,-0.15441876,-1.651683168,-2.415150177,2.415150177,0.215100539
BBY,0.003808489,-0.012992353,0.988304317,0.555460409,0.678218796,0.769532319,-0.663505314,-0.06184669,0.06184669,0.211523123
PANW,0.000665635,-0.000414589,0.996489048,0.588909157,0.119102026,0.828612213,0.12064214,0.223607058,-0.223607058,0.21118733
ULTA,-0.000807657,0.001605098,0.883700311,0.480994171,-0.142998079,0.014468584,0.246557412,-0.69734631,0.69734631,0.203843557
NKE,-0.003486157,0.028307638,0.862962544,0.60364939,-0.619505739,-0.135222968,1.911299283,0.349401148,-0.349401148,0.201792357
EXPD,-0.001023891,-0.010093356,0.999999821,0.491492599,-0.181466222,0.853954049,-0.482770395,-0.607752052,0.607752052,0.199367371
EBAY,-0.001163977,-0.014594237,0.903479874,0.377949664,-0.20638762,0.157243524,-0.763373107,-1.576734702,1.576734702,0.191054375
HIG,-0.000727292,-0.001010764,0.995793581,0.565591051,-0.128700937,0.82359212,0.083474233,0.02460886,-0.02460886,0.188439139
CSCO,0.006340195,0.001090931,0.813684464,0.57768867,1.128611642,-0.490927238,0.21450224,0.127850706,-0.127850706,0.181083984
MSCI,0.002714921,-0.007517332,0.921950758,0.531806905,0.483671982,0.290572015,-0.322170918,-0.263707201,0.263707201,0.17894507
ED,0.001453265,0.009695608,0.892875731,0.607502206,0.259222119,0.080699573,0.750951789,0.382281324,-0.382281324,0.177148039
WRB,-4.45E-05,0.002086319,0.996527195,0.608895087,-0.007225302,0.82888757,0.276558684,0.394168258,-0.394168258,0.176013174
HUM,0.000684847,0.001127747,0.941855967,0.571558956,0.12251982,0.434253911,0.216797493,0.07553934,-0.07553934,0.174507971
CTSH,-0.001273724,0.00539968,0.791074753,0.4350537,-0.225911798,-0.654131051,0.483126694,-1.089405216,1.089405216,0.173122265
DTE,-0.000117529,-0.006051677,0.967246294,0.524782067,-0.020223676,0.617529063,-0.230796161,-0.32365761,0.32365761,0.172541709
WY,-0.002494416,-0.002160335,0.980452478,0.51499324,-0.443074094,0.712855341,0.011805481,-0.407196083,0.407196083,0.172195703
CNP,0.001797469,-0.001732304,0.987364769,0.614132105,0.320456447,0.762750374,0.038490601,0.438861304,-0.438861304,0.170709029
CRL,-0.000890776,0.003188762,0.993035555,0.598915529,-0.157784969,0.803683843,0.345289298,0.30900208,-0.30900208,0.170546523
ERIE,-0.000820787,0.008374145,0.945825756,0.598457745,-0.145333945,0.46290906,0.668566596,0.305095319,-0.305095319,0.170261598
ISRG,-0.000212488,0.00534352,0.77962476,0.449468152,-0.037116973,-0.736780603,0.479625407,-0.966391362,0.966391362,0.168029798
SJM,0.000783302,0.002771232,0.971276522,0.615267404,0.140035163,0.64662048,0.319258862,0.448550022,-0.448550022,0.164341121
GPC,-0.002664265,0.012904724,0.951649904,0.601231384,-0.473290417,0.504949548,0.951020741,0.328765732,-0.328765732,0.163478535
DUK,-0.001695975,-0.002946131,0.923346698,0.48200078,-0.301030726,0.300648343,-0.037184165,-0.688755844,0.688755844,0.162797324
TECH,-0.000866414,0.021511391,1.000000119,0.743318306,-0.15345097,0.8539562,1.487594379,1.541344584,-1.541344584,0.161688756
CTRA,0.001106064,0.006212334,0.866678536,0.561686636,0.197454752,-0.108399801,0.533790705,-0.008711669,0.008711669,0.157889331
CVX,0.000181788,-0.008460653,0.980592251,0.53278113,0.033025175,0.713864265,-0.380981222,-0.255393096,0.255393096,0.155325328
ALB,5.75E-05,0.004170103,0.873661816,0.532284337,0.010922105,-0.057992347,0.406470008,-0.259632765,0.259632765,0.154758133
SNA,0.00047744,0.001234927,0.944247007,0.579421639,0.085621895,0.451513172,0.22347953,0.142639981,-0.142639981,0.154493654
PH,0.001254693,-0.000698793,0.935729206,0.574566336,0.223895993,0.390029071,0.102923754,0.10120451,-0.10120451,0.153911077
XOM,0.000284018,0.001866475,0.856372058,0.506939286,0.051212027,-0.182795111,0.262852718,-0.47592904,0.47592904,0.151799669
GNRC,-0.003865264,-0.004602434,0.930710614,0.436253694,-0.686949269,0.353803339,-0.14044462,-1.079164391,1.079164391,0.15139346
AMZN,-0.000169993,-0.005076263,0.989126921,0.559661264,-0.029557,0.775470125,-0.169984988,-0.025996326,0.025996326,0.150481116
DHI,-9.35E-05,-0.001183853,0.987109959,0.588126061,-0.015950156,0.760911079,0.072683188,0.216924066,-0.216924066,0.150180011
LH,0.012462699,-0.009553369,0.866555929,0.686935809,2.217811038,-0.109284814,-0.449105474,1.060172754,-1.060172754,0.149811999
CI,6.07E-05,-0.007686993,0.940443218,0.505151776,0.011485571,0.424056254,-0.332748257,-0.491183764,0.491183764,0.148494333
PM,0.001244874,0.008516088,0.748912394,0.486771712,0.222149283,-0.958471864,0.677415843,-0.64804041,0.64804041,0.147283418
TSCO,-0.000393878,0.000696143,0.995419025,0.60406017,-0.06938628,0.820888463,0.189889577,0.352906776,-0.352906776,0.147121246
SATS,0.003814823,-0.004385262,0.752855837,0.450372497,0.67934553,-0.930006883,-0.12690529,-0.958673629,0.958673629,0.145276746
LULU,-0.00438381,0.014129037,0.930242717,0.565468767,-0.77919912,0.350425919,1.0273493,0.023565282,-0.023565282,0.143752704
AJG,0.001037828,0.002274334,0.804218233,0.486540798,0.185315501,-0.55925739,0.288280268,-0.650011039,0.650011039,0.141087354
SYY,-0.002721186,0.005138782,0.987481892,0.584529829,-0.483416695,0.763595805,0.46686127,0.1862336,-0.1862336,0.140201695
ON,0.000374108,0.011431329,0.953525782,0.66767308,0.067239159,0.518490205,0.85916347,0.895783405,-0.895783405,0.137277357
CASY,-0.000591716,-0.004776621,0.90141201,0.485930628,-0.10458191,0.142317049,-0.151304115,-0.655218267,0.655218267,0.135412323
EA,-0.001022163,0.016506939,0.975115955,0.700117714,-0.181158829,0.674334684,1.175597075,1.172667979,-1.172667979,0.124026238
NWS,-0.004929026,0.004043401,0.9545452,0.51120774,-0.87619349,0.525848678,0.398570889,-0.439501788,0.439501788,0.121931966
NWSA,-0.004929026,0.004043401,0.954479218,0.511203034,-0.87619349,0.525372397,0.398570889,-0.439541943,0.439541943,0.121822935
ORLY,0.001339867,0.000609766,0.957391202,0.619699008,0.239048558,0.546391995,0.184504482,0.486369615,-0.486369615,0.120893855
CAG,0.00225192,-0.006414188,0.996708095,0.620996,0.401303668,0.830193362,-0.253396535,0.497438228,-0.497438228,0.120165567
UBER,-0.002079658,0.007593985,0.997088492,0.633406245,-0.369288241,0.832939183,0.61992831,0.603348045,-0.603348045,0.120057802
PFE,0.005210644,-0.008052045,0.875287533,0.56932672,0.927663551,-0.046257426,-0.355507043,0.056489297,-0.056489297,0.117352446
PPL,-0.001937709,-0.007988332,0.965998709,0.497592766,-0.34403541,0.608523614,-0.351534899,-0.555692843,0.555692843,0.117161537
VRT,-0.003016023,-0.023144925,0.996225178,0.390181044,-0.535868482,0.826707521,-1.296456759,-1.472351324,1.472351324,0.116683401
VTR,0.006251765,0.013304373,0.729610264,0.624334803,1.112879887,-1.097800545,0.97593644,0.52593178,-0.52593178,0.116271
BR,-0.00334071,-0.009084742,0.990208149,0.482102585,-0.593630598,0.783274761,-0.419889411,-0.687887035,0.687887035,0.114410447
ADP,-0.000561563,0.005460587,0.977248132,0.637914349,-0.099217693,0.689725393,0.486923849,0.641820491,-0.641820491,0.108902765
XYL,-0.001152033,0.012997505,0.9390769,0.650097073,-0.204262857,0.414193757,0.956805116,0.745788639,-0.745788639,0.105236844
EVRG,-0.000560033,0.005632034,0.979946196,0.64511054,-0.098945426,0.709200844,0.497612555,0.703233249,-0.703233249,0.101158681
CRM,-0.002995733,-0.004157298,0.991384327,0.532646604,-0.532258797,0.791764778,-0.112693111,-0.25654115,0.25654115,0.100838505
LIN,-0.000452108,-0.000532687,0.995344698,0.616712957,-0.079745451,0.820351948,0.113279452,0.460886465,-0.460886465,0.098249871
KDP,0.000633933,0.008185962,0.922634423,0.646234169,0.113462266,0.29550692,0.656834526,0.712822371,-0.712822371,0.088245335
SNDK,,,,0.552479703,,,,-0.087284221,0.087284221,0.087284221
MGM,-0.000828939,-0.008001985,0.914261401,0.492955605,-0.14678406,0.235067883,-0.352386098,-0.595266665,0.595266665,0.082791098
KEYS,-0.000103363,0.014036104,0.988494217,0.732069265,-0.01770353,0.770903079,1.021555486,1.445344552,-1.445344552,0.082352621
DVA,-0.000995725,0.004282286,0.837055504,0.517190357,-0.176455499,-0.322227911,0.413463943,-0.388445748,0.388445748,0.07580657
JNJ,0.005292249,-0.003256998,0.752486706,0.521784921,0.942181014,-0.932671387,-0.056564869,-0.349235449,0.349235449,0.075545051
AMP,-4.27E-05,0.00432816,0.995193779,0.674800328,-0.006909027,0.819262569,0.41632389,0.95660779,-0.95660779,0.06801741
MCK,0.004055502,-0.014538064,0.997658491,0.62517366,0.722162682,0.837053612,-0.75987105,0.533090644,-0.533090644,0.06656365
TROW,-0.00330022,0.002900015,0.81209439,0.442508757,-0.586427384,-0.502404873,0.327287651,-1.025783286,1.025783286,0.06605967
BRK-B,0.000430215,-0.009135878,0.93918556,0.541474087,0.077220563,0.414978093,-0.423077432,-0.181206849,0.181206849,0.062582018
APP,-0.00297978,0.014025609,0.881838143,0.591179089,-0.529420706,0.001026883,1.020901189,0.242978804,-0.242978804,0.06238214
