signal_year,outcome_window,year_rank,ticker,historical_nlp_stagnation_score,usable_signal_components,signal_quality,innovation_freq,strategic_freq,sentiment_score,capex_growth,innovation_change_yoy,strategic_change_yoy,sentiment_change_yoy,topic_rigidity,sentiment_growth_correlation,innovation_decline_score,strategic_decline_score,sentiment_decline_score,topic_rigidity_score,sentiment_growth_mismatch_score,event_type,event_score,event_date,event_summary,source,notes,backtest_interpretation,research_question
2024,2024 to 2025,1,AFL,0.811138,3,usable,0.001447,0.004101,,,-0.001643,-0.010509,,0.740801,,0.874936,1.0,,0.558478,,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,2,MAA,0.763111,5,usable,0.004964,0.004159,0.635867,0.055248,-0.0006,-0.000942,0.021133,0.999416,-1.0,0.785489,0.305046,0.726013,0.999005,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,3,DHR,0.761231,5,usable,0.003903,0.005409,0.482195,-0.006508,-0.00025,-0.001117,-0.011717,0.978644,-1.0,0.755471,0.31781,0.76925,0.963621,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,4,LIN,0.75666,5,usable,0.003699,0.001938,0.532468,-0.187483,-9.9e-05,-0.000134,-0.03659,0.995548,-1.0,0.742499,0.246393,0.80199,0.992417,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,5,F,0.756616,5,usable,0.002066,0.002066,0.268175,-0.054395,0.000117,0.000117,-0.077623,0.985292,-1.0,0.72397,0.228162,0.856001,0.974946,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,6,ODFL,0.754598,5,usable,0.006035,0.002914,0.495428,-0.018498,-0.000367,-0.000287,-0.013144,0.987612,-1.0,0.765442,0.257522,0.771129,0.978897,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,7,PEP,0.754425,5,usable,0.006059,0.004241,0.643942,0.036245,-2.4e-05,-0.000598,-0.001623,1.0,-1.0,0.736067,0.280091,0.755965,1.0,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,8,UHS,0.754262,5,usable,0.004561,0.001149,0.50664,-0.270175,-0.00049,3.3e-05,-0.005481,1.0,-1.0,0.776027,0.234238,0.761043,1.0,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,9,MKC,0.75315,5,usable,0.005145,0.004193,0.447491,-0.041682,-0.000286,-0.00029,-0.003746,0.994574,-1.0,0.758536,0.257698,0.758759,0.990757,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2024,2024 to 2025,10,STZ,0.752213,5,usable,0.005008,0.006439,0.477341,-0.22571,-0.000607,-0.000517,-0.076434,0.949571,-0.864556,0.786056,0.274201,0.854435,0.914098,0.932278,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,1,CCI,0.774047,5,usable,0.005696,0.001627,0.297519,-0.034091,0.003782,-0.0022,-0.318589,0.936355,-1.0,0.0,0.978647,1.0,0.891586,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,2,DLR,0.75407,3,usable,0.004966,0.00596,,,-0.00033,-0.000981,,0.990234,,0.366319,0.912527,,0.983364,,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,3,MRNA,0.753966,5,usable,0.006219,0.018386,0.518806,0.807802,-0.001476,-0.002048,0.006536,0.998717,-1.0,0.468335,0.970388,0.333295,0.997814,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,4,ESS,0.748374,5,usable,0.002989,0.006725,0.723115,-0.028982,-0.001219,-0.002233,0.012736,0.997288,-1.0,0.445472,0.980437,0.320581,0.995379,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,5,PNC,0.732987,3,usable,0.005372,0.004656,,,-0.000167,0.000224,,1.0,,0.351783,0.847178,,1.0,,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,6,ACN,0.731996,5,usable,0.004183,0.006816,0.603054,-0.16172,0.00048,-0.002594,-0.02526,0.992622,-0.959882,0.294112,1.0,0.398497,0.987431,0.979941,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,7,JPM,0.731044,3,usable,0.0,0.0,,,0.0,0.0,,0.998175,,0.336893,0.859347,,0.996891,,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,8,CB,0.729227,3,usable,0.003986,0.007739,,,6.1e-05,-0.000298,,0.988654,,0.331502,0.875506,,0.980673,,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,9,WEC,0.727956,5,usable,0.006638,0.00281,0.554179,-0.581425,-0.000839,-0.000168,-0.006458,0.999879,-1.0,0.411609,0.868438,0.359941,0.999793,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
2025,2025 to 2026,10,LDOS,0.724649,5,usable,0.004739,0.002063,0.529757,0.161074,-0.001661,-0.000627,-0.151128,0.758416,-1.0,0.484826,0.893332,0.656603,0.588483,1.0,,,,,,,"Historical NLP signal candidate. Used to check whether stagnation signals produce explainable historical candidate lists, not to prove actual LBO prediction.","After the signal year, did this company show restructuring, layoffs, divestiture, activist pressure, strategic review, acquisition interest, take-private relevance, or major market/financial pressure?"
